0,producao,1543104000,5.07628594791162E-09,6.36048926124469E-05,0,0,0.00896907048884,0.324824194699068,0.5
1,cattle-system,1543305600,4.5699092822225E-09,5.97265455019318E-05,0,0,0.326726369698322,0.098760636219367,0.5
2,kube-system,1543168800,0.001207105309124,0.006141750484212,0.022244365400558,0,0,0,0
3,kube-system,1542988800,4.84005597011258E-09,5.81752066577258E-05,0,0,0.007916114172189,0.004950461764811,0
4,kube-system,1543406400,4.78528212643963E-06,0.004454669491138,0.016559739618003,0,0,0,0
5,mariadb-tyktn,1543024800,0.003601074781326,0,0.0412625423182,6.53171767812982E-08,0,0,0
6,mariadb-tyktn,1542888000,0.003184080768802,0,0.0412625423182,6.53171767812982E-08,0,0,0
7,producao,1542945600,1.04921425480087E-08,7.4464264521889E-05,0,0,2.49813341541103E-06,1.29224113543878E-07,0
8,producao,1543068000,0.000788240127299,0.019695022296618,0.009458041172699,0,0,0,0
9,prometheus,1543327200,0.062808360646751,0.305789829267403,0.778303678263249,0.973512121251411,0,0,1
10,prometheus,1543089600,0.010847130440787,0,0.01782979609672,0,0,0,0
11,cattle-system,1543384800,6.31463101451987E-09,6.12778843461378E-05,0,0,0.356319009882913,0.025163132047493,0.5
12,kube-system,1543399200,7.24038326546223E-07,0.008458675048033,0.061571194629009,3.26585883906491E-08,0,0,0
13,kube-system,1542895200,0.002424002941271,0,0.057585422528597,0,0,0,0
14,producao,1542729600,0.03723175378505,0.106865527621976,0.033683041274794,1.63292941953246E-07,0,0,0.5
15,cattle-system,1543248000,0.00028400057512,0,0.005288498842248,3.26585883906491E-08,0,0,0
16,prometheus,1542772800,0.004121210034832,0.009570209329907,0.035577916535645,5.49970628498531E-05,0,0,0
17,default,1543428000,1.74578384770523E-09,7.2912925677683E-05,0,0,0.000154661515132,0.000101601225876,0
18,producao,1543435200,1.46012041611591E-08,0.000445234248287,0,0,0,0,0
19,producao,1543536000,4.21867507803964E-09,6.36048926124469E-05,0,0,5.87282410207716E-07,3.34884200313706E-06,0
20,cattle-system,1543204800,0.001064204557842,0,1.22513486692993E-05,3.26585883906491E-08,0,0,0
21,producao,1543399200,0.027728447246221,0,1.22513486692993E-05,0,0,0,0
22,producao,1543536000,0.000783107223168,0,0.059006578974235,7.90337839053708E-06,0,0,0
23,kube-system,1543543200,0.000169772345999,0.006017643376675,0.017891052840067,0,0,0,0
24,ingress-nginx,1543233600,1.34930983674409E-09,0.000201674049747,0.000661572828142,0,0.935836071521981,0.643229874733822,1
25,prometheus,1543341600,0.001975769371218,0.00420490393722,0.010344222059779,0,0,0,0
26,cattle-system,1542852000,0.000865888148087,0.003679775738457,0.000820840360843,3.26585883906491E-08,0,0,0
27,prometheus,1543291200,0.062088939809195,0,0.78353092036215,0.962437789879672,0,0,1
28,kube-system,1543291200,4.84005597011258E-09,5.81752066577258E-05,0,0,0.010058377307901,0.006220231748098,0
29,prometheus,1543428000,1.6158127897149E-05,0,0.010340138276889,0,0,0,0
30,kube-system,1542772800,0.003795425436773,0.002711740299672,0.00035528911141,0,0,0,0
31,producao,1543500000,6.67928099822326E-09,8.92019835418462E-05,0,0,3.10949770507671E-05,2.23016306195799E-05,0
32,ingress-nginx,1543226400,0.016416155253205,0,0.059218935684503,0.00239965509918,0,0,0
33,cattle-system,1543528800,0.004567978495786,0.177051199611545,0.117584360745045,0.003534475728578,0,0,0.5
34,testes,1543449600,7.05602437518446E-09,6.05022149240348E-05,0,0,2.27232583156958E-07,1.27579583166704E-08,0
35,cattle-system,1542852000,8.52041467926985E-09,6.12778843461378E-05,0,0,0.000117988226017,0.000201366873198,0
36,ingress-nginx,1542736800,1.37361413949416E-08,6.74832397229619E-05,0,0,0.000258406391901,0.000261989466297,0
37,ingress-nginx,1543377600,2.68879773496403E-09,0.000225719801832,0.000726913354378,0,0.266739608975026,0.290666570655763,0.5
38,cattle-system,1543435200,6.31463101451987E-09,6.12778843461378E-05,0,0,0.360277114788696,0.025304828529951,0.5
39,prometheus,1543615200,0.00014166965634,0,0.010340138276889,0,0,0,0
40,cattle-system,1542909600,0.000961797334906,0.003996248862675,1.22513486692993E-05,3.26585883906491E-08,0,0,0
41,kube-system,1542715200,6.15883077758031E-07,0.005438993987786,0.061652870286804,3.26585883906491E-08,0,0,0
42,prometheus,1542866400,5.63184937741676E-05,0.001351216133303,0.003765247824365,0,0,0,0
43,cattle-system,1543212000,0.000275960443885,0,0.005288498842248,3.26585883906491E-08,0,0,0
44,ingress-nginx,1542967200,0.015130870387405,0.029973417808905,0.05734856312099,0.002197498437042,0,0,0
45,prometheus,1542895200,2.61231359510483E-09,0.000197795702636,0.000726913354378,0,0.315721811266392,0.093060010347057,0.5
46,producao,1543392000,6.8071134229552E-09,6.74832397229619E-05,0,0,0.024451966779224,0.003252674691064,0
47,producao,1543600800,0.001904265628845,0.027534713145813,8.1675657795329E-06,0.000418323858696,0,0,0
48,default,1542909600,1.27238034453318E-08,6.20535537682408E-05,0,0,0.005907697276031,0.003906088526168,0
49,kube-system,1543298400,0.02286280285487,0.005653078748287,0.029113288221145,0,0,0,0
50,kube-system,1542888000,4.87292765328624E-10,6.36048926124469E-05,0,0,0.815907065172277,0.551655384460103,1
51,producao,1543341600,1.3560813482689E-08,0.000100061355451,0,0,0.00896337560087,0.023970585716091,0
52,prometheus,1543622400,7.24222056737792E-10,6.12778843461378E-05,0,0,0.057503512923811,0.03764780163157,0
53,cattle-system,1543600800,5.00841966524786E-09,7.1361586833477E-05,0,0,0.012164956591202,0.004238279075659,0
